Ward,Tory.Total,Kees.Total,Goldy.Total,Other.Total,Station,Latitude,Longitude,Num.Trips
11,50.82983286,40.53696795,1.976911553,6.656287636,Augusta Ave / Denison Sq,43.6538727,-79.4017521,7328
11,50.82983286,40.53696795,1.976911553,6.656287636,Bay St / College St (East Side),43.660909,-79.390166,16036
11,50.82983286,40.53696795,1.976911553,6.656287636,Huron St / Harbord St,43.6637,-79.400053,12775
11,50.82983286,40.53696795,1.976911553,6.656287636,80 Clinton St (North of College),43.6562963,-79.4146634,2232
11,50.82983286,40.53696795,1.976911553,6.656287636,Summerhill Station,43.6822899,-79.3907744,2323
11,50.82983286,40.53696795,1.976911553,6.656287636,Bay St / Wellesley St W,43.664088,-79.387095,33344
11,50.82983286,40.53696795,1.976911553,6.656287636,Davenport Rd / Bedford Rd,43.6743644,-79.3998092,1275
11,50.82983286,40.53696795,1.976911553,6.656287636,Ossington Ave / Harrison St,43.650949,-79.4213583,1672
11,50.82983286,40.53696795,1.976911553,6.656287636,Bathurst St / Lennox St,43.6638315,-79.4106835,3506
11,50.82983286,40.53696795,1.976911553,6.656287636,College St W / Markham St,43.6570289,-79.4092728,5085
11,50.82983286,40.53696795,1.976911553,6.656287636,Hayter St / Laplante Ave,43.6590542,-79.3859663,5670
11,50.82983286,40.53696795,1.976911553,6.656287636,Bathurst Subway Station,43.6660011,-79.4112152,2593
11,50.82983286,40.53696795,1.976911553,6.656287636,Marlborough Ave / Yonge St,43.679879,-79.3907295,989
11,50.82983286,40.53696795,1.976911553,6.656287636,Palmerston Ave / Vermont Ave,43.6715996,-79.4163406,1752
11,50.82983286,40.53696795,1.976911553,6.656287636,University Ave / Gerrard St W,43.657763,-79.389165,17260
11,50.82983286,40.53696795,1.976911553,6.656287636,Bay St / Davenport Rd,43.6730853,-79.3906658,1989
11,50.82983286,40.53696795,1.976911553,6.656287636,Davenport Rd / Avenue Rd,43.6746978,-79.3965732,1352
11,50.82983286,40.53696795,1.976911553,6.656287636,Yonge St / Yorkville Ave,43.6719226,-79.3874532,4226
11,50.82983286,40.53696795,1.976911553,6.656287636,College Park South,43.659777,-79.382767,34203
11,50.82983286,40.53696795,1.976911553,6.656287636,College St W / Borden St,43.6549406,-79.4168398,4557
11,50.82983286,40.53696795,1.976911553,6.656287636,Kendal Ave / Spadina Rd,43.6703049,-79.4052872,2898
11,50.82983286,40.53696795,1.976911553,6.656287636,Bloor St / Brunswick Ave,43.665876,-79.407224,20167
11,50.82983286,40.53696795,1.976911553,6.656287636,Ulster St / Bathurst St,43.6598108,-79.409058,2051
11,50.82983286,40.53696795,1.976911553,6.656287636,Essex St / Christie St,43.6683553,-79.4202547,1314
11,50.82983286,40.53696795,1.976911553,6.656287636,Spadina Ave / Willcocks St,43.6612715,-79.4014858,2833
11,50.82983286,40.53696795,1.976911553,6.656287636,Ossington Ave / College St W,43.6543876,-79.4226798,668
11,50.82983286,40.53696795,1.976911553,6.656287636,St George St / Hoskin Ave,43.66408,-79.398439,6390
11,50.82983286,40.53696795,1.976911553,6.656287636,University Ave / College St,43.659226,-79.390213,20771
11,50.82983286,40.53696795,1.976911553,6.656287636,Roxton Rd / Harbord St,43.6587949,-79.4230682,1519
11,50.82983286,40.53696795,1.976911553,6.656287636,Church St / Bloor St E,43.671389,-79.382919,19930
11,50.82983286,40.53696795,1.976911553,6.656287636,College St W / Crawford St,43.6532372,-79.4182957,4133
11,50.82983286,40.53696795,1.976911553,6.656287636,Wellesley St / Queen's Park Cres,43.6635981,-79.3906219,6096
11,50.82983286,40.53696795,1.976911553,6.656287636,Kendal Ave / Bernard Ave,43.671699,-79.4083388,3291
11,50.82983286,40.53696795,1.976911553,6.656287636,Taddle Creek Park,43.6698599,-79.3984431,1646
11,50.82983286,40.53696795,1.976911553,6.656287636,Yarmouth Rd / Christie St,43.67002,-79.4209268,1677
11,50.82983286,40.53696795,1.976911553,6.656287636,Central Tech  (Harbord St),43.6639967,-79.4087556,1977
11,50.82983286,40.53696795,1.976911553,6.656287636,College St W / Major St,43.6549406,-79.4168398,9185
11,50.82983286,40.53696795,1.976911553,6.656287636,Madison Ave / Bloor St W,43.667158,-79.402761,19569
11,50.82983286,40.53696795,1.976911553,6.656287636,Ossington Ave / Bloor St W,43.6619827,-79.4256242,3489
11,50.82983286,40.53696795,1.976911553,6.656287636,University Ave / Elm St,43.656518,-79.389099,16807
11,50.82983286,40.53696795,1.976911553,6.656287636,Castle Frank Station,43.6736049,-79.3688194,1121
11,50.82983286,40.53696795,1.976911553,6.656287636,Central Tech  (Harbord St),43.6619996,-79.4088813,1977
11,50.82983286,40.53696795,1.976911553,6.656287636,College St W / Huron St,43.6515678,-79.4101974,10897
11,50.82983286,40.53696795,1.976911553,6.656287636,Ted Rogers Way / Bloor St E,43.6716033,-79.3805398,6324
11,50.82983286,40.53696795,1.976911553,6.656287636,Yonge St / Aylmer Ave,43.6755882,-79.3889658,1362
11,50.82983286,40.53696795,1.976911553,6.656287636,St George St / Bloor St W,43.667333,-79.399429,22389
11,50.82983286,40.53696795,1.976911553,6.656287636,Bloor St W / Christie St,43.6635591,-79.4184063,4220
11,50.82983286,40.53696795,1.976911553,6.656287636,Queens Park / Bloor St W,43.668327,-79.39355,22021
11,50.82983286,40.53696795,1.976911553,6.656287636,Elizabeth St / Edward St (Bus Terminal),43.6560524,-79.3846762,9339
11,50.82983286,40.53696795,1.976911553,6.656287636,Willcocks St / St George St,43.662237,-79.397716,26631
11,50.82983286,40.53696795,1.976911553,6.656287636,Spadina Ave / Sussex Ave,43.664137,-79.402496,14784
11,50.82983286,40.53696795,1.976911553,6.656287636,Edward St / Yonge St,43.656729,-79.382736,22094
11,50.82983286,40.53696795,1.976911553,6.656287636,Harbord St / Clinton St,43.6602673,-79.4158311,2128
12,62.48497897,29.6440016,2.082916083,5.788103345,Christie St / Benson Ave (Wychwood Barns),43.6799824,-79.4240684,1536
12,62.48497897,29.6440016,2.082916083,5.788103345,Davenport Rd / Christie St,43.6755784,-79.4230446,934
12,62.48497897,29.6440016,2.082916083,5.788103345,Bridgeman Ave / Kendal Ave,43.6754816,-79.4098212,1309
12,62.48497897,29.6440016,2.082916083,5.788103345,Bridgeman Ave / Bathurst St,43.6743307,-79.4148223,663
12,62.48497897,29.6440016,2.082916083,5.788103345,Davenport Rd / Bathurst St,43.6766965,-79.4157557,682
12,62.48497897,29.6440016,2.082916083,5.788103345,Glen Edyth Dr / Davenport Rd,43.6781484,-79.4048738,1848
12,62.48497897,29.6440016,2.082916083,5.788103345,Macpherson Ave / Spadina Rd,43.6758521,-79.4074745,2460
13,51.16051719,36.47114475,2.182276884,10.18606118,51 Parliament St,43.65205,-79.362198,17139
13,51.16051719,36.47114475,2.182276884,10.18606118,161 Bleecker St (South of Wellesley),43.6665988,-79.3732174,11594
13,51.16051719,36.47114475,2.182276884,10.18606118,Church St  / Wood St,43.6628044,-79.3797312,6069
13,51.16051719,36.47114475,2.182276884,10.18606118,Sumach St / Carlton St (Riverdale Farm),43.6671213,-79.3611251,2056
