"","Station","id","Terminal","Latitude","Longitude","Docks"
"110","Euclid Ave / Bloor St W","NULL","NULL",43.664332,-79.4148618,"NULL"
"111","Gerrard St E / River St","NULL","NULL",43.6636944,-79.3592313,"NULL"
"112","Queen St W / Dovercourt Rd","NULL","NULL",43.6434786,-79.4223717,"NULL"
"113","Hayter St / Laplante Ave","NULL","NULL",43.6590542,-79.3859663,"NULL"
"114","Harbord St / Clinton St","NULL","NULL",43.6602673,-79.4158311,"NULL"
"115","Dundas St E / Parliament St","NULL","NULL",43.6594276,-79.3659956,"NULL"
"116","Yonge St / Harbour St","NULL","NULL",43.6432796,-79.3754993,"NULL"
"117","Taddle Creek Park","NULL","NULL",43.6698599,-79.3984431,"NULL"
"118","Bathurst St / Lennox St","NULL","NULL",43.6638315,-79.4106835,"NULL"
"119","Essex St / Christie St","NULL","NULL",43.6683553,-79.4202547,"NULL"
"120","King St W / Bay St (West Side)","NULL","NULL",43.6487191,-79.3796276,"NULL"
"121","Sterling Rd / Dundas St W","NULL","NULL",43.6506776,-79.4430582,"NULL"
"122","Princess St / Adelaide St","NULL","NULL",43.6523981,-79.3673842,"NULL"
"123","Queen St W / Close Ave","NULL","NULL",43.6407312,-79.4359476,"NULL"
"124","Salem Ave / Bloor St W","NULL","NULL",43.6606625,-79.4316443,"NULL"
"125","Ossington Ave / Harrison St","NULL","NULL",43.650949,-79.4213583,"NULL"
"126","College St W / Borden St","NULL","NULL",43.6549406,-79.4168398,"NULL"
"127","College St W / Markham St","NULL","NULL",43.6570289,-79.4092728,"NULL"
"128","Claremont St / Dundas St W","NULL","NULL",43.6511693,-79.4115844,"NULL"
"129","Fort York Blvd / Garrison Rd","NULL","NULL",43.6374334,-79.4061926,"NULL"
"130","King St W / Bay St (East Side)","NULL","NULL",43.6487191,-79.3796276,"NULL"
"131","Lower Sherbourne St / The Esplanade","NULL","NULL",43.6490352,-79.3672694,"NULL"
"132","Trinity St /Front St E","NULL","NULL",43.6520867,-79.3603354,"NULL"
"133","Carlton St / Parliament St","NULL","NULL",43.6642764,-79.3679725,"NULL"
"134","Parliament St / Aberdeen Ave","NULL","NULL",43.6650445,-79.3682814,"NULL"
"135","Howard St / Sherbourne St","NULL","NULL",43.6712495,-79.3764212,"NULL"
"136","Nelson St / Duncan St","NULL","NULL",43.6488016,-79.388923,"NULL"
"137","Strachan Ave / Princes' Blvd","NULL","NULL",43.6348654,-79.409077,"NULL"
"138","Ontario Place Blvd / Remembrance Dr","NULL","NULL",43.6312174,-79.4102496,"NULL"
"139","Queen St E / Berkely St","NULL","NULL",43.655317,-79.3657508,"NULL"
"140","Cherry St / Distillery Ln","NULL","NULL",43.6503677,-79.3569845,"NULL"
"141","Queen St E / Sackville St","NULL","NULL",43.6562647,-79.361453,"NULL"
"142","Sumach St / Carlton St (Riverdale Farm)","NULL","NULL",43.6671213,-79.3611251,"NULL"
"143","Queen St W / York St (City Hall)","NULL","NULL",43.6534399,-79.3840901,"NULL"
"144","Castle Frank Station","NULL","NULL",43.6736049,-79.3688194,"NULL"
"145","Ulster St / Bathurst St","NULL","NULL",43.6598108,-79.409058,"NULL"
"146","Rusholme Park Cres / College St W","NULL","NULL",43.6529203,-79.4296335,"NULL"
"147","Queen St W / Cowan Ave","NULL","NULL",43.6413253,-79.4331243,"NULL"
"148","Jarvis St / Dundas St E","NULL","NULL",43.6570469,-79.3745394,"NULL"
"149","Richmond St E / Jarvis St Green P","NULL","NULL",43.6524382,-79.3766754,"NULL"
"150","Bay St / Davenport Rd","NULL","NULL",43.6730853,-79.3906658,"NULL"
"151","Boston Ave / Queen St E","NULL","NULL",43.6613414,-79.3387986,"NULL"
"152","Queen St E / George St (Moss Park)","NULL","NULL",43.6539577,-79.372065,"NULL"
"153","Palmerston Ave / Vermont Ave","NULL","NULL",43.6715996,-79.4163406,"NULL"
"154","Spadina Ave / Willcocks St","NULL","NULL",43.6612715,-79.4014858,"NULL"
"155","Queen St W / Gladstone Ave","NULL","NULL",43.6425333,-79.4271162,"NULL"
"156","Jimmie Simpson Park (Queen St E)","NULL","NULL",43.6612075,-79.3447934,"NULL"
"157","Jimmie Simpson Park (Queen St E)","NULL","NULL",43.6604409,-79.3453882,"NULL"
"158","Davenport Rd / Bathurst St","NULL","NULL",43.6766965,-79.4157557,"NULL"
"159","Seaton St / Dundas St E","NULL","NULL",43.6586458,-79.3694957,"NULL"
"160","Liberty St / Fraser Ave Green P","NULL","NULL",43.6416978,-79.4236547,"NULL"
"161","Christie St / Benson Ave (Wychwood Barns)","NULL","NULL",43.6799824,-79.4240684,"NULL"
"162","King St W / Douro St","NULL","NULL",43.641106,-79.4166062,"NULL"
"163","Wellington St W / Stafford St","NULL","NULL",43.6410063,-79.4102226,"NULL"
"164","Danforth Ave / Ellerbeck St","NULL","NULL",43.676679,-79.356409,"NULL"
"165","Landsdowne Subway Green P","NULL","NULL",43.6647888,-79.4635996,"NULL"
"166","Summerhill Station","NULL","NULL",43.6822899,-79.3907744,"NULL"
"167","Davenport Rd / Bedford Rd","NULL","NULL",43.6743644,-79.3998092,"NULL"
"168","Cariboo St / Rail Path","NULL","NULL",43.6666942,-79.4583445,"NULL"
"169","Bloor GO / UP Station/ Rail Path","NULL","NULL",43.6580286,-79.4508945,"NULL"
"170","Niagara St / Tecumseth St","NULL","NULL",43.641387,-79.4044383,"NULL"
"171","King St W / Stafford St","NULL","NULL",43.6422906,-79.4107175,"NULL"
"172","Chester Station","NULL","NULL",43.6782356,-79.3524545,"NULL"
"173","Exhibition GO (Atlantic Ave)","NULL","NULL",43.6358793,-79.4187734,"NULL"
"174","80 Clinton St (North of College)","NULL","NULL",43.6562963,-79.4146634,"NULL"
"175","Dufferin St / Sylvan Av (Dufferin Grove Park)","NULL","NULL",43.6565553,-79.4327637,"NULL"
"176","Davenport Rd / Christie St","NULL","NULL",43.6755784,-79.4230446,"NULL"
"177","Mary McCormick Rec Centre (Sheridan Ave)","NULL","NULL",43.6474373,-79.4328546,"NULL"
"178","Roxton Rd / Harbord St","NULL","NULL",43.6587949,-79.4230682,"NULL"
"179","King St W / Fraser Ave","NULL","NULL",43.6394623,-79.4248104,"NULL"
"180","Glen Edyth Dr / Davenport Rd","NULL","NULL",43.6781484,-79.4048738,"NULL"
"181","Danforth Ave / Coxwell Ave","NULL","NULL",43.6833563,-79.3235888,"NULL"
"182","King St W / Joe Shuster Way","NULL","NULL",43.6397139,-79.4235468,"NULL"
"183","Bridgeman Ave / Bathurst St","NULL","NULL",43.6743307,-79.4148223,"NULL"
"184","Bridgeman Ave / Kendal Ave","NULL","NULL",43.6754816,-79.4098212,"NULL"
"185","Bloor St W / Dundas St W","NULL","NULL",43.6563348,-79.4524245,"NULL"
"186","Danforth Ave / Gough Ave","NULL","NULL",43.6786924,-79.3461056,"NULL"
"187","Parliament St / Bloor St E","NULL","NULL",43.6720333,-79.370728,"NULL"
"188","Lansdowne Ave / Whytock Ave","NULL","NULL",43.6538351,-79.4411144,"NULL"
"189","Ossington Ave / College St W","NULL","NULL",43.6543876,-79.4226798,"NULL"
"190","Ossington Ave / College St W","NULL","NULL",43.6543876,-79.4226798,"NULL"
"191","Davenport Rd / Avenue Rd","NULL","NULL",43.6746978,-79.3965732,"NULL"
"192","Pape Subway Green P","NULL","NULL",43.6795523,-79.3453774,"NULL"
"193","Kendal Ave / Spadina Rd","NULL","NULL",43.6703049,-79.4052872,"NULL"
"194","Dufferin St / Bloor St","NULL","NULL",43.6598576,-79.4353285,"NULL"
"195","Stephenson Ave / Main St","NULL","NULL",43.6877284,-79.301609,"NULL"
"196","Woodbine Subway Green P (Cedarvale Ave)","NULL","NULL",43.686833,-79.3110491,"NULL"
"197","Donlands Station","NULL","NULL",43.6808917,-79.3377455,"NULL"
"198","Margueretta St / College St W","NULL","NULL",43.651566,-79.437566,"NULL"
"199","Danforth Ave / Westlake Ave","NULL","NULL",43.6874331,-79.3052146,"NULL"
"200","Dundas St W / Edna Ave","NULL","NULL",43.6572627,-79.4526909,"NULL"
"201","Danforth Ave / Barrington Ave","NULL","NULL",43.6884404,-79.3005649,"NULL"
"202","Mortimer Ave / Coxwell Ave","NULL","NULL",43.6905839,-79.326557,"NULL"
"203","Danforth Ave / Aldridge Ave","NULL","NULL",43.6847323,-79.3171844,"NULL"
